JUD-ETH-001,JUD,ETH,"Supreme Court term limits",MISSING,2,2
JUD-ETH-002,JUD,ETH,"Judicial ethics code",MISSING,2,2
JUD-INT-001,JUD,INT,"Require intent-based interpretation",MISSING,2,2
JUD-INT-002,JUD,INT,"Limit strict textualism",MISSING,2,2
JUD-INT-003,JUD,INT,"Require plain-language intent in laws",MISSING,2,2
JUD-OVR-001,JUD,OVR,"Judicial oversight mechanisms",MISSING,2,2
JUD-REC-001,JUD,REC,"Strong recusal standards",MISSING,2,2
JUD-VEN-001,JUD,VEN,"Prevent judge and venue shopping",MISSING,2,2
JUS-AI-001,JUS,AI,"AI systems may not be used to determine or recommend criminal sentencing outcomes including incarceration length or punitive measures",MISSING,2,2
JUS-AI-002,JUS,AI,"AI risk assessment tools predicting recidivism dangerousness or likelihood of reoffense may not be used in sentencing decisions",MISSING,2,2
JUS-AI-003,JUS,AI,"AI may be used to assist in identifying wrongful convictions procedural errors and case review opportunities to accelerate appeals and justice processes",MISSING,2,2
JUS-AI-004,JUS,AI,"AI systems should be used to identify and mitigate bias in charging sentencing and judicial processes under strict oversight and transparency",MISSING,2,2
JUS-AI-005,JUS,AI,"AI-generated evidence or analysis may not be used in court unless it is transparent auditable and subject to challenge by all parties",MISSING,2,2
JUS-AI-006,JUS,AI,"Defendants must have the right to examine challenge and cross-examine any AI system or output used in legal proceedings",MISSING,2,2
JUS-AI-007,JUS,AI,"AI systems may not be used to profile rank or exclude jurors based on inferred characteristics behavioral patterns or demographic proxies",MISSING,2,2
JUS-AI-008,JUS,AI,"AI systems may not be used to recommend or automate prosecutorial decisions such as charging strategies plea deals or case prioritization without human accountability and oversight",MISSING,2,2
JUS-AI-009,JUS,AI,"All use of AI in legal proceedings must be disclosed to all parties including purpose limitations and methodology",MISSING,2,2
JUS-AI-010,JUS,AI,"AI evidence must meet strict reliability and scientific validity standards equivalent to or exceeding existing evidentiary standards",MISSING,2,2
JUS-BAL-001,JUS,BAL,"End or sharply limit cash bail systems that criminalize poverty",MISSING,2,2
JUS-BAL-002,JUS,BAL,"Pretrial detention must be limited to cases with clear individualized and reviewable necessity",MISSING,2,2
JUS-BAL-003,JUS,BAL,"AI systems may not be used to assign bail or pretrial release risk scores",MISSING,2,2
JUS-BAL-004,JUS,BAL,"Pretrial release decisions must favor the least restrictive conditions consistent with safety and court appearance",MISSING,2,2
JUS-CIV-001,JUS,CIV,"People must have meaningful access to civil courts for harms involving housing employment discrimination injury and consumer abuse",MISSING,2,2
JUS-CIV-002,JUS,CIV,"Forced arbitration clauses that strip people of meaningful legal recourse should be banned or strictly limited",MISSING,2,2
JUS-CIV-003,JUS,CIV,"Class actions and collective remedies must remain available where systemic harms affect large groups of people",MISSING,2,2
JUS-CIV-004,JUS,CIV,"Court fees filing costs and procedural burdens must not block access to justice for low-income people",MISSING,2,2
JUS-CON-001,JUS,CON,"People in custody retain human rights including access to adequate healthcare sanitation nutrition and safety",MISSING,2,2
JUS-CON-002,JUS,CON,"Solitary confinement must be banned or strictly limited with strong safeguards and independent review",MISSING,2,2
JUS-CON-003,JUS,CON,"Mental health needs in custody must be treated medically and may not be punished as disciplinary problems",MISSING,2,2
JUS-CON-004,JUS,CON,"Disability access and accommodation must be guaranteed in all detention and correctional settings",MISSING,2,2
JUS-CON-005,JUS,CON,"Independent inspections and public reporting are required for all detention and correctional facilities",MISSING,2,2
JUS-CRT-001,JUS,CRT,"Justice systems must be designed for intelligibility and access so people can understand proceedings obligations rights and deadlines without needing insider knowledge",MISSING,2,2
JUS-CRT-002,JUS,CRT,"Courts must provide accessible notice scheduling and participation systems that do not punish people for disability poverty language barriers caregiving or lack of transportation",MISSING,2,2
