224,HLT-ACC-001,"Coverage for citizens and long-term residents",MISSING,"Context-based conversion to the later structured ID corpus."
225,HLT-ACC-002,"Residency requirement for elective care",MISSING,"Context-based conversion to the later structured ID corpus."
226,HLT-ACC-003,"Exception for severe conditions",MISSING,"Context-based conversion to the later structured ID corpus."
222,HLT-EMS-001,"Emergency care free for all",MISSING,"Context-based conversion to the later structured ID corpus."
223,HLT-EMS-002,"Emergency includes ambulance and follow-up",MISSING,"Context-based conversion to the later structured ID corpus."
210,HLT-MHC-001,"Mental healthcare must be included",MISSING,"Context-based conversion to the later structured ID corpus."
215,HLT-PHR-001,"Generic drug quality standards",MISSING,"Context-based conversion to the later structured ID corpus."
216,HLT-PHR-002,"Ban unnecessary allergens",MISSING,"Context-based conversion to the later structured ID corpus."
221,HLT-PHR-003,"Supply chain traceability",MISSING,"Context-based conversion to the later structured ID corpus."
285,HLT-REB-001,"National rehab standards",MISSING,"Context-based conversion to the later structured ID corpus."
286,HLT-REB-002,"Evidence-based rehab required",MISSING,"Context-based conversion to the later structured ID corpus."
287,HLT-REB-003,"Ban abusive rehab practices",MISSING,"Context-based conversion to the later structured ID corpus."
288,HLT-REB-004,"Rehab transparency",MISSING,"Context-based conversion to the later structured ID corpus."
289,HLT-REB-005,"Accessible rehab treatment",MISSING,"Context-based conversion to the later structured ID corpus."
290,HLT-REB-006,"Rehab oversight and audits",MISSING,"Context-based conversion to the later structured ID corpus."
291,HLT-REB-007,"Expand voluntary treatment",MISSING,"Context-based conversion to the later structured ID corpus."
212,HLT-STD-001,"Coverage must be evidence-based",MISSING,"Context-based conversion to the later structured ID corpus. ; Approved by Alice"
232,HLT-STD-001,"Coverage must be evidence-based",MISSING,"Context-based conversion to the later structured ID corpus. ; Approved by Alice"
242,HLT-STD-001,"Coverage must be evidence-based",MISSING,"Context-based conversion to the later structured ID corpus. ; Approved by Alice"
211,HLT-STD-002,"Protect from partisan interference",MISSING,"Context-based conversion to the later structured ID corpus. ; Approved by Alice"
246,HLT-STD-002,"Protect from partisan interference",MISSING,"Context-based conversion to the later structured ID corpus. ; Approved by Alice"
227,HLT-STD-005,"Healthcare coverage decisions and prior authorization determinations must meet strict maximum response timelines",MISSING,"Context-based conversion to the later structured ID corpus. ; Approved by Alice"
237,HLT-STD-005,"Healthcare coverage decisions and prior authorization determinations must meet strict maximum response timelines",MISSING,"Context-based conversion to the later structured ID corpus. ; Approved by Alice"
229,HLT-STD-006,"Urgent and emergency-related coverage determinations must be made on accelerated timelines sufficient to prevent medical harm",MISSING,"Context-based conversion to the later structured ID corpus."
230,HLT-STD-007,"If a coverage decision is not made within required timelines the requested care should be presumptively approved unless narrowly defined exceptions apply",MISSING,"Context-based conversion to the later structured ID corpus. ; Approved by Alice"
238,HLT-STD-007,"If a coverage decision is not made within required timelines the requested care should be presumptively approved unless narrowly defined exceptions apply",MISSING,"Context-based conversion to the later structured ID corpus. ; Approved by Alice"
228,HLT-STD-008,"Administrative delay may not be used as a strategy to avoid payment or discourage medically necessary care",MISSING,"Context-based conversion to the later structured ID corpus. ; Approved by Alice"
231,HLT-STD-008,"Administrative delay may not be used as a strategy to avoid payment or discourage medically necessary care",MISSING,"Context-based conversion to the later structured ID corpus. ; Approved by Alice"
234,HLT-STD-008,"Administrative delay may not be used as a strategy to avoid payment or discourage medically necessary care",MISSING,"Context-based conversion to the later structured ID corpus. ; Approved by Alice"
236,HLT-STD-008,"Administrative delay may not be used as a strategy to avoid payment or discourage medically necessary care",MISSING,"Context-based conversion to the later structured ID corpus. ; Approved by Alice"
240,HLT-STD-008,"Administrative delay may not be used as a strategy to avoid payment or discourage medically necessary care",MISSING,"Context-based conversion to the later structured ID corpus. ; Approved by Alice"
233,HLT-STD-009,"Full transparency of evidence",MISSING,"Context-based conversion to the later structured ID corpus. ; Approved by Alice"
241,HLT-STD-009,"Full transparency of evidence",MISSING,"Context-based conversion to the later structured ID corpus. ; Approved by Alice"
243,HLT-STD-009,"Full transparency of evidence",MISSING,"Context-based conversion to the later structured ID corpus. ; Approved by Alice"
239,HLT-STD-010,"Publish dissenting opinions",MISSING,"Context-based conversion to the later structured ID corpus. ; Approved by Alice"
