1,HLT-MHC-001,1,1383,"Mental healthcare must be included","HLT-MHC-001  Mental healthcare must be included"
2,HLT-STD-001,1,1384,"Coverage must be evidence-based","HLT-STD-001  Coverage must be evidence-based"
3,HLT-STD-002,1,1385,"Protection from partisan interference","HLT-STD-002  Protection from partisan interference"
4,HLT-SUP-001,1,1386,"Supplement regulation + labeling","HLT-SUP-001  Supplement regulation + labeling"
5,HLT-SUP-002,1,1387,"Supply chain traceability","HLT-SUP-002  Supply chain traceability"
6,HLT-EMS-001,1,1388,"Emergency care free for all","HLT-EMS-001  Emergency care free for all"
7,HLT-ACC-001,1,1389,"Residency-based coverage rules","HLT-ACC-001  Residency-based coverage rules"
8,JUS-DRG-001,1,1391,"End war on drugs framework","JUS-DRG-001  End war on drugs framework"
9,JUS-DRG-002,1,1392,"Decriminalize personal possession","JUS-DRG-002  Decriminalize personal possession"
10,HLT-DRG-003,1,1393,"Treat addiction as medical condition","HLT-DRG-003  Treat addiction as medical condition"
11,HLT-DRG-004,1,1394,"Harm reduction systems","HLT-DRG-004  Harm reduction systems"
12,HLT-REB-001,1,1395,"Rehab facility regulation","HLT-REB-001  Rehab facility regulation"
13,HLT-REB-002,1,1396,"Evidence-based rehab requirement","HLT-REB-002  Evidence-based rehab requirement"
14,MED-PRS-001,1,1398,"Protect journalists from retaliation","MED-PRS-001  Protect journalists from retaliation"
15,MED-PRS-002,1,1399,"Protect confidential sources","MED-PRS-002  Protect confidential sources"
16,MED-PRS-003,1,1400,"Limit compelled disclosure","MED-PRS-003  Limit compelled disclosure"
17,COR-WHB-001,1,1401,"Whistleblower protections","COR-WHB-001  Whistleblower protections"
18,MED-PRS-004,1,1402,"Limit surveillance of journalists","MED-PRS-004  Limit surveillance of journalists"
19,SYS-GEO-001,1,1404,"Geography must not determine access","SYS-GEO-001  Geography must not determine access"
20,SYS-GEO-002,1,1405,"National uniform standards required","SYS-GEO-002  National uniform standards required"
21,SYS-GEO-003,1,1406,"Cross-state access guaranteed","SYS-GEO-003  Cross-state access guaranteed"
22,SYS-STR-001,1,1407,"Anti-centralization for high-risk systems","SYS-STR-001  Anti-centralization for high-risk systems"
23,SYS-STR-002,1,1408,"Distributed election control","SYS-STR-002  Distributed election control"
24,HLT-MHC-001,1,1474,[CORE][RIGHT][HIGH_PRIORITY],"HLT-MHC-001 [CORE][RIGHT][HIGH_PRIORITY]"
25,HLT-MHC-001,1,1638,"Mental healthcare must be included","HLT-MHC-001 Mental healthcare must be included"
26,HLT-STD-001,1,1639,"Coverage decisions must be evidence-based","HLT-STD-001 Coverage decisions must be evidence-based"
27,HLT-STD-002,1,1640,"Coverage must be insulated from partisan interference","HLT-STD-002 Coverage must be insulated from partisan interference"
28,HLT-PHR-001,1,1641,"Stricter quality standards for generic medicine ingredients","HLT-PHR-001 Stricter quality standards for generic medicine ingredients"
29,HLT-PHR-002,1,1642,"Ban non-essential common allergens in medicines","HLT-PHR-002 Ban non-essential common allergens in medicines"
30,HLT-SUP-001,1,1643,"Fund supplement efficacy/safety studies","HLT-SUP-001 Fund supplement efficacy/safety studies"
31,HLT-SUP-002,1,1644,"New supplement label standards","HLT-SUP-002 New supplement label standards"
32,HLT-SUP-003,1,1645,"Supplement lab testing transparency","HLT-SUP-003 Supplement lab testing transparency"
33,HLT-SUP-004,1,1646,"Minimum quality/testing standards for supplements","HLT-SUP-004 Minimum quality/testing standards for supplements"
34,HLT-PHR-003,1,1647,"End-to-end supply chain traceability for drugs/supplements","HLT-PHR-003 End-to-end supply chain traceability for drugs/supplements"
35,HLT-EMS-001,1,1648,"Emergency services free for all regardless of citizenship","HLT-EMS-001 Emergency services free for all regardless of citizenship"
36,HLT-EMS-002,1,1649,"Emergency care includes ambulance, ER, supplies, follow-up","HLT-EMS-002 Emergency care includes ambulance, ER, supplies, follow-up"
37,HLT-ACC-001,1,1650,"Coverage for citizens and long-term/permanent residents","HLT-ACC-001 Coverage for citizens and long-term/permanent residents"
38,HLT-ACC-002,1,1651,"Two-year residency rule for elective/non-urgent procedures","HLT-ACC-002 Two-year residency rule for elective/non-urgent procedures"
39,HLT-ACC-003,1,1652,"Exception for life-threatening or disability-causing conditions","HLT-ACC-003 Exception for life-threatening or disability-causing conditions"
40,HLT-TEL-001,1,1653,"Telemedicine must not have regional restrictions","HLT-TEL-001 Telemedicine must not have regional restrictions"
41,HLT-TEL-002,1,1654,"Telemedicine must bridge unavailable local coverage","HLT-TEL-002 Telemedicine must bridge unavailable local coverage"
42,HLT-COV-001,1,1655,"Ban tiered healthcare coverage","HLT-COV-001 Ban tiered healthcare coverage"
43,HLT-COV-002,1,1656,"One plan for everyone","HLT-COV-002 One plan for everyone"
44,HLT-COV-003,1,1657,"Single-payer healthcare","HLT-COV-003 Single-payer healthcare"
45,HLT-STD-003,1,1658,"Minimum healthcare service levels","HLT-STD-003 Minimum healthcare service levels"
46,HLT-STD-004,1,1659,"Maximum healthcare wait times","HLT-STD-004 Maximum healthcare wait times"
47,HLT-STD-005,1,1661,"Independent scientific governance body","HLT-STD-005 Independent scientific governance body"
48,HLT-STD-006,1,1662,"Staggered appointments","HLT-STD-006 Staggered appointments"
49,HLT-STD-007,1,1663,"Federal and state appointment participation","HLT-STD-007 Federal and state appointment participation"
50,HLT-STD-008,1,1664,"Multi-layer anti-capture guardrails","HLT-STD-008 Multi-layer anti-capture guardrails"
51,HLT-STD-009,1,1665,"Full transparency of evidence, methods, exclusions","HLT-STD-009 Full transparency of evidence, methods, exclusions"
52,HLT-STD-010,1,1666,"Publish dissenting scientific opinions","HLT-STD-010 Publish dissenting scientific opinions"
53,HLT-STD-011,1,1667,"Independent audit of scientific integrity","HLT-STD-011 Independent audit of scientific integrity"
54,SYS-GEO-001,1,1668,"Geography must not determine access to fundamental rights or care","SYS-GEO-001 Geography must not determine access to fundamental rights or care"
55,SYS-GEO-002,1,1669,"National baseline of rights/services must be uniform","SYS-GEO-002 National baseline of rights/services must be uniform"
56,SYS-GEO-003,1,1670,"States may not restrict federally guaranteed rights/services","SYS-GEO-003 States may not restrict federally guaranteed rights/services"
57,SYS-GEO-004,1,1671,"Cross-state access to care must be guaranteed","SYS-GEO-004 Cross-state access to care must be guaranteed"
58,SYS-GEO-005,1,1672,"Travel/accommodation support when local access unavailable","SYS-GEO-005 Travel/accommodation support when local access unavailable"
59,SYS-FED-001,1,1673,"High-risk systems must not be fully centralized federally","SYS-FED-001 High-risk systems must not be fully centralized federally"
60,SYS-FED-002,1,1674,"Elections remain primarily state/local administered","SYS-FED-002 Elections remain primarily state/local administered"
61,SYS-FED-003,1,1675,"Federal government may set standards but not directly control elections","SYS-FED-003 Federal government may set standards but not directly control elections"
62,SYS-FED-004,1,1676,"Multiple oversight layers required for elections","SYS-FED-004 Multiple oversight layers required for elections"
63,SYS-FED-005,1,1677,"Safeguards against both state suppression and federal manipulation","SYS-FED-005 Safeguards against both state suppression and federal manipulation"
64,MED-PRS-001,1,1679,"Protect journalists engaged in lawful newsgathering","MED-PRS-001 Protect journalists engaged in lawful newsgathering"
65,MED-PRS-002,1,1680,"Protect confidential sources","MED-PRS-002 Protect confidential sources"
66,MED-PRS-003,1,1681,"High-threshold limits on compelled source disclosure","MED-PRS-003 High-threshold limits on compelled source disclosure"
67,MED-PRS-004,1,1682,"Ban retaliation/surveillance/prosecution of journalists in public-interest reporting","MED-PRS-004 Ban retaliation/surveillance/prosecution of journalists in public-interest reporting"
68,COR-WHB-001,1,1683,"Protect whistleblowers who provide information to journalists","COR-WHB-001 Protect whistleblowers who provide information to journalists"
69,MED-PRS-005,1,1684,"Prohibit classification/national security misuse to conceal wrongdoing","MED-PRS-005 Prohibit classification/national security misuse to conceal wrongdoing"
70,MED-PRS-006,1,1685,"Independent judicial review before compelled disclosure of journalistic materials","MED-PRS-006 Independent judicial review before compelled disclosure of journalistic materials"
71,MED-PRS-007,1,1686,"Limit subpoenas/warrants/surveillance targeting journalists","MED-PRS-007 Limit subpoenas/warrants/surveillance targeting journalists"
72,MED-PRS-008,1,1687,"Extend protections to independent/digital journalists","MED-PRS-008 Extend protections to independent/digital journalists"
73,MED-PRS-009,1,1688,"Transparency/reporting on government actions targeting journalists","MED-PRS-009 Transparency/reporting on government actions targeting journalists"
74,JUS-DRG-001,1,1690,"End the war on drugs framework","JUS-DRG-001 End the war on drugs framework"
75,JUS-DRG-002,1,1691,"Decriminalize personal possession","JUS-DRG-002 Decriminalize personal possession"
76,HLT-STD-012,1,1692,"Treat substance use disorder as a medical condition","HLT-STD-012 Treat substance use disorder as a medical condition"
77,JUS-DRG-003,1,1693,"Redirect enforcement funding to treatment/prevention/harm reduction","JUS-DRG-003 Redirect enforcement funding to treatment/prevention/harm reduction"
78,JUS-DRG-004,1,1694,"Regulated frameworks for substances based on risk/evidence","JUS-DRG-004 Regulated frameworks for substances based on risk/evidence"
79,HLT-STD-013,1,1695,"Harm reduction strategies","HLT-STD-013 Harm reduction strategies"
80,JUS-DRG-005,1,1696,"No criminal penalties when seeking emergency overdose help","JUS-DRG-005 No criminal penalties when seeking emergency overdose help"
81,HLT-REB-001,1,1697,"National standards for rehab facilities","HLT-REB-001 National standards for rehab facilities"
82,HLT-REB-002,1,1698,"Evidence-based treatment required","HLT-REB-002 Evidence-based treatment required"
83,HLT-REB-003,1,1699,"Ban abusive/coercive/non-evidence-based rehab practices","HLT-REB-003 Ban abusive/coercive/non-evidence-based rehab practices"
84,HLT-REB-004,1,1700,"Rehab transparency on outcomes and methods","HLT-REB-004 Rehab transparency on outcomes and methods"
85,HLT-REB-005,1,1701,"Treatment must be accessible and affordable","HLT-REB-005 Treatment must be accessible and affordable"
86,HLT-REB-006,1,1702,"Oversight and auditing of rehab facilities","HLT-REB-006 Oversight and auditing of rehab facilities"
87,HLT-REB-007,1,1703,"Expand voluntary treatment and reduce court-mandated reliance","HLT-REB-007 Expand voluntary treatment and reduce court-mandated reliance"
88,RGT-BOD-001,1,1704,"Patient rights protections in rehab settings","RGT-BOD-001 Patient rights protections in rehab settings"
89,TRM-LIM-001,1,1706,"House maximum 6 terms","TRM-LIM-001 House maximum 6 terms"
90,TRM-LIM-002,1,1707,"Senate maximum 3 terms","TRM-LIM-002 Senate maximum 3 terms"
91,TRM-LIM-003,1,1708,"Combined maximum 8 terms or 20 years","TRM-LIM-003 Combined maximum 8 terms or 20 years"
92,TRM-RUN-001,1,1709,"No running for any office while in office","TRM-RUN-001 No running for any office while in office"
93,TRM-RUN-002,1,1710,"Two-year wait before election to another office","TRM-RUN-002 Two-year wait before election to another office"
94,TRM-VAC-001,1,1711,"Wait period also applies to appointments/special elections","TRM-VAC-001 Wait period also applies to appointments/special elections"
95,TRM-VAC-002,1,1712,"Special-election exception when term is more than halfway over","TRM-VAC-002 Special-election exception when term is more than halfway over"
96,TRM-VAC-003,1,1713,"Senate appointment exception under remaining-term rule","TRM-VAC-003 Senate appointment exception under remaining-term rule"
97,COR-ETH-001,1,1714,"Covered officials may not directly trade stock","COR-ETH-001 Covered officials may not directly trade stock"
98,COR-ETH-002,1,1715,"Applies to Congress","COR-ETH-002 Applies to Congress"
99,COR-ETH-003,1,1716,"Applies to federal justices","COR-ETH-003 Applies to federal justices"
100,COR-ETH-004,1,1717,"Applies to cabinet and senior officials","COR-ETH-004 Applies to cabinet and senior officials"
101,COR-ETH-005,1,1718,"Applies to President and Vice President","COR-ETH-005 Applies to President and Vice President"
102,COR-ETH-006,1,1719,"Applies to immediate family","COR-ETH-006 Applies to immediate family"
103,COR-ETH-007,1,1720,"Applies to spouses/domestic partners","COR-ETH-007 Applies to spouses/domestic partners"
104,COR-ETH-008,1,1721,"Applies to spouses/partners of immediate family","COR-ETH-008 Applies to spouses/partners of immediate family"
105,COR-ETH-009,1,1722,"Collective investment vehicles allowed if no investor trading input","COR-ETH-009 Collective investment vehicles allowed if no investor trading input"
106,JUD-VEN-001,1,1758,"if you want a judiciary-specific domain code","JUD-VEN-001 if you want a judiciary-specific domain code"
107,ADM-OVR-001,1,1760,"only if you treat it as procedural oversight","ADM-OVR-001 only if you treat it as procedural oversight"
108,JUD-VEN-001,1,1780,"— Prevent judge/venue shopping","JUD-VEN-001 — Prevent judge/venue shopping"
109,JUD-VEN-001,1,2075,"Prevent judge shopping and venue shopping","JUD-VEN-001  Prevent judge shopping and venue shopping"
110,TRM-LIM-001,1,2076,"House maximum 6 terms","TRM-LIM-001  House maximum 6 terms"
111,TRM-LIM-002,1,2077,"Senate maximum 3 terms","TRM-LIM-002  Senate maximum 3 terms"
112,TRM-LIM-003,1,2078,"Combined maximum 8 terms or 20 years","TRM-LIM-003  Combined maximum 8 terms or 20 years"
113,TRM-RUN-001,1,2079,"May not run for another office while in office","TRM-RUN-001  May not run for another office while in office"
114,TRM-RUN-002,1,2080,"Must wait 2 years before election to another office","TRM-RUN-002  Must wait 2 years before election to another office"
115,TRM-VAC-001,1,2081,"Vacancy rules must respect wait periods","TRM-VAC-001  Vacancy rules must respect wait periods"
