ECO-AUT-001,ECO,AUT,"Companies that replace or materially displace human labor with AI or automation should pay an AI worker tax or automated-labor tax",MISSING,2,2
ECO-AUT-002,ECO,AUT,"Revenue from AI or automated-labor taxation should be used to support workers, public goods, and broad-based social benefit rather than private concentration alone",MISSING,2,2
ECO-AUT-003,ECO,AUT,"AI or automated-labor taxation should be structured to discourage labor displacement without social responsibility and to share productivity gains broadly",MISSING,2,2
ECO-EQT-001,ECO,EQT,"Guarantee equal pay and equal economic opportunity regardless of protected class",MISSING,2,2
ECO-IND-001,ECO,IND,"Establish national manufacturing and industrial policy to strengthen domestic production and supply chains",MISSING,2,2
ECO-INS-001,ECO,INS,"AI systems may not be used to deny restrict or reduce insurance coverage or claims without direct independent human review and accountability",MISSING,2,2
ECO-INS-002,ECO,INS,"Human reviewers in insurance decisions must exercise independent judgment and may not rely solely on AI-generated recommendations",MISSING,2,2
ECO-LAB-004,ECO,LAB,"Government must subsidize or support paid parental leave for small businesses",MISSING,2,2
ECO-SMB-001,ECO,SMB,"Provide subsidies carveouts or public support to help small businesses comply with healthcare coverage requirements",MISSING,2,2
ECO-TAX-001,ECO,TAX,"Anti-wealth hoarding",PARTIAL,1,1
