200,"Elected or appointed-and-Senate-confirmed officials may not directly trade stock",MISSING,pillar_3_anti_corruption_and_concentrated_power.md,"Also overlaps ethics / checks and balances",2,2
201,"Applies to members of Congress",MISSING,pillar_3_anti_corruption_and_concentrated_power.md,"Explicit scope",2,2
202,"Applies to federal justices",MISSING,pillar_6_courts_and_judicial_system.md,"Judicial ethics overlap",2,2
203,"Applies to cabinet members and other senior officials",MISSING,pillar_3_anti_corruption_and_concentrated_power.md,"Executive ethics overlap",2,2
204,"Applies to President and Vice President",MISSING,"pillar_1_executive_power.md and pillar_3_anti_corruption_and_concentrated_power.md","Executive conflict-of-interest rule",2,2
205,"Applies to immediate family members of covered officials",MISSING,pillar_3_anti_corruption_and_concentrated_power.md,"Define “immediate family”",2,2
206,"Applies to spouses or long-term domestic partners of officials",MISSING,pillar_3_anti_corruption_and_concentrated_power.md,"Define qualifying relationship",2,2
207,"Applies to spouses or long-term domestic partners of immediate family members of officials",MISSING,pillar_3_anti_corruption_and_concentrated_power.md,"Broad anti-circumvention rule",2,2
208,"Covered persons may invest through collective investment vehicles managed without investor trading input",MISSING,pillar_3_anti_corruption_and_concentrated_power.md,"Permitted safe-harbor",2,2
209,"No investor input into trading decisions for permitted collective investment vehicles",MISSING,pillar_3_anti_corruption_and_concentrated_power.md,"Needs exact compliance standard",2,2
271,"Establish strong protections for whistleblowers providing information to journalists about government or corporate wrongdoing",MISSING,"pillar_3_anti_corruption...md + pillar_11",Cross-pillar,2,2
276,"Protect individuals who provide information to journalists in the public interest from retaliation or prosecution (whistleblower expansion)",MISSING,pillar_3,"Reinforces 271",2,2
