HLT-ACC-001,HLT,ACC,"Coverage for citizens and long-term residents",MISSING,2,2
HLT-ACC-002,HLT,ACC,"Residency requirement for elective care",MISSING,2,2
HLT-ACC-003,HLT,ACC,"Exception for severe conditions",MISSING,2,2
HLT-AI-001,HLT,AI,"AI systems in healthcare must be treated as high-risk systems requiring strict standards for safety efficacy accountability and patient protection",MISSING,2,2
HLT-AI-002,HLT,AI,"AI systems may support but not replace licensed medical professionals in diagnosis treatment decisions or patient care where such care is medically required",MISSING,2,2
HLT-AI-003,HLT,AI,"AI systems may be used for clinical decision support only where they assist rather than substitute for physician judgment",MISSING,2,2
HLT-AI-004,HLT,AI,"AI systems must meet strong evidence standards for safety efficacy and bias before being used in clinical settings",MISSING,2,2
HLT-AI-005,HLT,AI,"Deployed healthcare AI systems must be continuously monitored for errors bias and adverse outcomes",MISSING,2,2
HLT-AI-006,HLT,AI,"AI systems may not independently diagnose or prescribe treatment without qualified human oversight and accountability",MISSING,2,2
HLT-AI-007,HLT,AI,"AI systems may not be used to deny restrict or limit medically necessary care; any decision that would result in denial must be made directly and independently by a qualified human reviewer",UPDATED,4,2
HLT-AI-007A,HLT,AI,"Human reviewers must exercise independent clinical judgment and may not rely solely on AI-generated recommendations when making decisions that affect access to care",MISSING,2,2
HLT-AI-007B,HLT,AI,"AI systems may be used to assist or expedite approval of care but may not be used as the primary basis for denial restriction or reduction of care",MISSING,2,2
HLT-AI-007C,HLT,AI,"Human review must occur prior to any denial decision and may not be deferred to post-decision appeal processes",MISSING,2,2
HLT-AI-007D,HLT,AI,"Absence of AI approval or recommendation may not be used as evidence justification or implicit basis for denial restriction or limitation of care",MISSING,2,2
HLT-AI-007E,HLT,AI,"All denial decisions must be based on independent clinical evaluation and evidence and may not rely on absence of AI support or AI-generated prioritization",MISSING,2,2
HLT-AI-007F,HLT,AI,"AI systems used to assist approvals must not create systemic bias in review processes that increases likelihood of denial for cases not flagged or prioritized by AI",MISSING,2,2
HLT-AI-007G,HLT,AI,"Case review systems must ensure that requests not prioritized or flagged by AI receive equal and timely human consideration",MISSING,2,2
HLT-AI-008,HLT,AI,"AI systems may not make opaque triage or prioritization decisions that materially affect access to care without explainability and oversight",MISSING,2,2
HLT-AI-009,HLT,AI,"Coverage decision-making entities must not use AI systems to prioritize cost reduction over patient health outcomes or to override licensed clinical judgment",UPDATED,4,2
HLT-AI-010,HLT,AI,"Patients and providers must have access to explanations and appeal processes for AI-influenced coverage decisions",MISSING,2,2
HLT-AI-011,HLT,AI,"Patients have the right to receive care from qualified human providers and may not be forced into AI-only care pathways",MISSING,2,2
HLT-AI-012,HLT,AI,"Patients must be informed when AI systems are used in their care and must be able to opt out where feasible",MISSING,2,2
HLT-AI-013,HLT,AI,"Healthcare data used by AI systems must be treated as highly sensitive with strict protections against misuse or unauthorized access",MISSING,2,2
HLT-AI-014,HLT,AI,"Healthcare data may not be used for advertising profiling or unrelated commercial purposes",MISSING,2,2
HLT-AI-015,HLT,AI,"Training data for healthcare AI must meet strict ethical legal and consent standards including safeguards against re-identification",MISSING,2,2
HLT-AI-016,HLT,AI,"Healthcare AI systems must fail safely and defer to human providers when uncertain or operating outside validated scope",MISSING,2,2
HLT-AI-017,HLT,AI,"AI systems may not present outputs with unwarranted certainty in clinical contexts where uncertainty materially affects outcomes",MISSING,2,2
HLT-AI-018,HLT,AI,"Healthcare AI systems must be evaluated and mitigated for bias across race gender socioeconomic status and other protected characteristics",MISSING,2,2
HLT-AI-019,HLT,AI,"AI deployment must not worsen disparities in healthcare access or outcomes",MISSING,2,2
HLT-AI-020,HLT,AI,"AI may be used to accelerate medical research and drug development provided it meets safety transparency and ethical standards",MISSING,2,2
HLT-AI-021,HLT,AI,"Increase funding for research into under-studied conditions treatments and medications including diseases that are historically neglected or lack commercial incentives",MISSING,2,2
HLT-AI-022,HLT,AI,"Public funding priorities must include diseases and conditions that are prevalent but underfunded including sexually transmitted infections chronic conditions and non-commercial research areas",MISSING,2,2
HLT-AI-023,HLT,AI,"Healthcare AI policy and approvals must be grounded in transparent evidence-based science and protected from political ideological or commercial distortion",MISSING,2,2
HLT-AI-024,HLT,AI,"AI systems must be integrated into healthcare systems in ways that preserve safety accountability and continuity of care",MISSING,2,2
HLT-AI-025,HLT,AI,"Healthcare AI systems should support interoperability and data portability without compromising privacy or security",MISSING,2,2
HLT-APL-001,HLT,APL,"Patients and providers must have access to fast meaningful and independent appeal processes for adverse coverage or service decisions",MISSING,2,2
HLT-APL-002,HLT,APL,"Appeals involving urgent medically necessary treatment must be resolved on timelines that prevent avoidable deterioration injury or death",MISSING,2,2
HLT-APL-003,HLT,APL,"Independent external review must be available for contested denials and may not be controlled by the same entity that issued the denial",MISSING,2,2
HLT-APL-004,HLT,APL,"Successful appeals should trigger review of the underlying denial patterns and potential penalties for repeated wrongful denials",MISSING,2,2
HLT-COV-001,HLT,COV,"Ban tiered healthcare coverage",MISSING,2,2
HLT-COV-002,HLT,COV,"Single plan for all",MISSING,2,2
HLT-COV-003,HLT,COV,"Single payer healthcare",MISSING,2,2
HLT-COV-005,HLT,COV,"Establish tighter overall rules limiting denial of healthcare coverage or service",MISSING,2,2
HLT-COV-006,HLT,COV,"Until universal healthcare is implemented overhaul health insurance to reduce denials delays and gaps in coverage",MISSING,2,2
HLT-COV-007,HLT,COV,"Require faster timelines for healthcare coverage decisions and prior authorization determinations",MISSING,2,2
HLT-COV-008,HLT,COV,"Require expedited appeal processes for denials of healthcare coverage or service",MISSING,2,2
HLT-COV-009,HLT,COV,"Increase required coverage of medicines procedures and medically necessary treatments",MISSING,2,2
HLT-COV-010,HLT,COV,"Protect and strengthen bans on denial of coverage based on pre-existing conditions",MISSING,2,2
HLT-COV-011,HLT,COV,"Expand required coverage for conditions that are often under-covered including obesity",MISSING,2,2
HLT-COV-012,HLT,COV,"Require coverage of mental healthcare including talk therapy",MISSING,2,2
HLT-COV-013,HLT,COV,"Require coverage of psychedelic therapy where medically appropriate and supported by evidence and law",MISSING,2,2
